"id"	"primary_name"	"location"	"last_status_check_time"	"total.dois"	"current.dois"	"backfile.dois"	"prefixes"	"coverge.references.backfile"	"coverge.references.current"	"combinedPercEst"
2345	"Oto-Rhino-Laryngological Society of Japan, Inc."	"New Road Oxford Oxford OX2 1BG United Kingdom"	"2018-03-26"	16648	375	16273	10.395	0.045289743691683	0.338666677474976	0.004935198783719
5167	"The Korean Society for Fisheries and Marine Sciences Education"	"245 Daehangno Yusong Yusong Daejeon 305-806 South Korea"	"2018-03-26"	911	376	535	10.13	0.915887832641602	0.992021262645721	0.004929486645695
3015	"Korean Society for Thoracic and Cardiovascular Surgery"	"8-17 World Cup Buk-ro 5ga-gil, Mapo-gu Seoul 121-841 South Korea"	"2018-03-26"	878	200	678	10.509	0.977876126766205	0.995000004768372	0.004923774779637
2119	"Korean Endocrine Society (KAMJE)"	"302-75 Ichon1-Dong Yongsan-Gu Yongsan-Gu Seoul 140-721 South Korea"	"2018-03-26"	877	89	788	10.3803	0.984771549701691	0.955056190490723	0.004918062556774
2917	"NACE International"	"15835 Park Ten Place Houston TX 77084 United States"	"2018-03-26"	7513	292	7221	10.5006	0.085306741297245	0.821917831897736	0.004889502399883
2611	"The Korean Society of Pathologists and The Korean Society for Cytopathology"	"13th Fl., Hallasignmavalley, 325 - 2Seongsudong2-ga, Seongdong-gu 325-2 Seongsudong2-ga Seoul 133-827 South Korea"	"2018-03-26"	906	166	740	10.4132	0.947297275066376	0.933734953403473	0.00488950239984
3348	"Korean Institute of Navigation and Port Research"	"245 Daehangno Yusong Yusong Daejeon 305-806 South Korea"	"2018-03-26"	1587	82	1505	10.5394	0.558803975582123	0.170731708407402	0.004883790350102
900	"Japanese Society for the Study of Xenobiotics"	"New Road Oxford Oxford OX2 1BG United Kingdom"	"2018-03-26"	2511	0	2511	10.2133	0.339705288410187	0	0.004872366255223
4977	"Engineering and Technology Publishing"	"7H, 07-42 First City Plaza Shuncheng Street Shuncheng Str. Chengdu Qihyang Dis., Sichuan China"	"2018-03-26"	1517	123	1394	10.1272	0.611190795898438	0	0.004866654164119
3248	"The Korean Astronomical Society"	"245 Daehangno Yusong Yusong Daejeon 305-806 South Korea"	"2018-03-26"	1067	124	943	10.5303	0.869565188884735	0.25	0.004860942149279
1235	"International Mountain Society (IMS) and United Nations University"	"Suite 800 21 DuPont Circle 21 DuPont Circle Washington DC 20036 United States"	"2018-03-26"	1466	145	1321	10.1659	0.564723670482635	0.710344851016998	0.004849518072274
1160	"Nihon University School of Dentistry"	"New Road Oxford Oxford OX2 1BG United Kingdom"	"2018-03-26"	1872	110	1762	10.2334	0.41940975189209	0.981818199157715	0.004838094073235
525	"Pesticide Science Society of Japan"	"New Road Oxford Oxford OX2 1BG United Kingdom"	"2018-03-26"	3506	111	3395	10.1584	0.226804122328758	0.684684693813324	0.004832382103762
3990	"National Council of Teachers of Mathematics"	"1906 Association Dr. Reston 20191 United States"	"2018-03-26"	2785	549	2236	10.5951	0.377906978130341	0	0.004826670106881
3209	"Museum National d'Histoire Naturelle, Paris, France"	"Suite 800 21 DuPont Circle 21 DuPont Circle Washington DC 20036 United States"	"2018-03-26"	892	170	722	10.5252	0.945983350276947	0.947058796882629	0.004820957907169
1739	"The Society for Free Radical Research Japan"	"New Road Oxford Oxford OX2 1BG United Kingdom"	"2018-03-26"	1592	110	1482	10.3164	0.494601875543594	0.990909099578857	0.00480953387102
736	"American Society of Nephrology (ASN)"	"1510 H Street, NW #800 Washington 20005 United States"	"2018-03-26"	9529	1220	8309	"10.1681, 10.2215"	0.048381272703409	0.355737715959549	0.004775261816472
1059	"Biomedical Research Press"	"New Road Oxford Oxford OX2 1BG United Kingdom"	"2018-03-26"	2083	46	2037	10.222	0.386843383312225	1	0.004763837536444
1921	"Japanese Society for Food Hygiene and Safety"	"New Road Oxford Oxford OX2 1BG United Kingdom"	"2018-03-26"	3997	38	3959	10.3358	0.20484970510006	0.526315808296204	0.004746701494732
2346	"Society of Biomechanisms Japan"	"New Road Oxford Oxford OX2 1BG United Kingdom"	"2018-03-26"	2227	12	2215	10.3951	0.369751691818237	0.916666686534882	0.004740989541431
7182	"Harvard Education Publishing Group"	"8 Story Street 1st Floor Cambridge MA 01238 United States"	"2018-03-26"	1606	57	1549	10.17763	0.50355064868927	0.877192974090576	0.004740989294254
3032	"The Society of Synthetic Organic Chemistry, Japan"	"New Road Oxford Oxford OX2 1BG United Kingdom"	"2018-03-26"	8169	164	8005	10.5059	0.08707058429718	0.72560977935791	0.004661021234253
2234	"Japan Society of Coloproctology"	"New Road Oxford Oxford OX2 1BG United Kingdom"	"2018-03-26"	4556	122	4434	10.3862	0.163283720612526	0.721311450004578	0.004638172994616
2482	"The Korean Academy of Prosthodontics (KAMJE)"	"302-75 Ichon1-Dong Yongsan-Gu Yongsan-Gu Seoul 140-721 South Korea"	"2018-03-26"	822	146	676	10.4047	0.982248544692993	0.986301362514496	0.004615324858141
4656	"The Korean Institute of Chemical Engineers"	"245 Daehangno Yusong Yusong Daejeon 305-806 South Korea"	"2018-03-26"	808	104	704	10.9713	0.995738625526428	1	0.004598188621258
3787	"The Korean Welding and Joining Society"	"245 Daehangno Yusong Yusong Daejeon 305-806 South Korea"	"2018-03-26"	890	142	748	10.5781	0.929144382476807	0.739436626434326	0.004569628481347
73	"Duke University Press"	"905 West Main Street #18B #18B Durham NC 27701 United States"	"2018-03-26"	98780	4366	94414	10.1215	0.004850975703448	0.07810352742672	0.004563916570056
5458	"Endocrinology Research Centre"	"11, Dm. Ul'yanova Str. Moscow Russian Federation"	"2018-03-26"	4069	622	3447	10.14341	0.153176680207253	0.434083610773087	0.004558204544529
3236	"Korean Fluid Machinery Association"	"Dongsin Tower, 4th Floor 5, Mullae-dong 6-ga, Mullae-dong 6-ga Mullae-dong 6-ga Seoul 150-096 South Korea"	"2018-03-26"	1296	151	1145	10.5293	0.648034930229187	0.370860934257507	0.004558204393788
1759	"Center for Academic Publications Japan"	"New Road Oxford Oxford OX2 1BG United Kingdom"	"2018-03-26"	3286	71	3215	10.3177	0.22612752020359	0.98591548204422	0.004552492246763
2506	"The Korean Society of Applied Pharmacology"	"8-17 World Cup Buk-ro 5ga-gil, Mapo-gu Seoul 121-841 South Korea"	"2018-03-26"	845	186	659	10.4062	0.968133509159088	0.849462389945984	0.00454678027048
1982	"Western North American Naturalist"	"Suite 800 21 DuPont Circle 21 DuPont Circle Washington DC 20036 United States"	"2018-03-26"	845	92	753	10.3398	0.938911020755768	0.95652174949646	0.004541068306369
1154	"Japanese Society of Allergology"	"New Road Oxford Oxford OX2 1BG United Kingdom"	"2018-03-26"	801	0	801	10.2332	0.991260945796967	0	0.004535356373581
2387	"Japan Stroke Society"	"New Road Oxford Oxford OX2 1BG United Kingdom"	"2018-03-26"	2795	119	2676	10.3995	0.253363221883774	0.974789917469025	0.004535356169983
3952	"Mycobiology (KAMJE)"	"302-75 Ichon1-Dong Yongsan-Gu Yongsan-Gu Seoul 140-721 South Korea"	"2018-03-26"	802	60	742	10.5941	0.987870633602142	1	0.004529644295414
2669	"The Korean Academy of Asthma, Allergy and Clinical Immunology and The Korean Academy of Pediatric Al"	"302-75 Ichon1-Dong Yongsan-Gu Yongsan-Gu Seoul 140-721 South Korea"	"2018-03-26"	808	178	630	10.4168	0.979365050792694	0.988764047622681	0.004529644137439
2664	"The Kansai Plant Protection Society"	"New Road Oxford Oxford OX2 1BG United Kingdom"	"2018-03-26"	1857	26	1831	10.4165	0.432004362344742	0	0.004518220094651
2091	"Japan Radioisotope Association"	"New Road Oxford Oxford OX2 1BG United Kingdom"	"2018-03-26"	6632	82	6550	10.3769	0.109312973916531	0.914634168148041	0.004518220057455
3530	"Korean Society for Atmospheric Environment"	"Dongsin Tower, 4th Floor 5, Mullae-dong 6-ga, Mullae-dong 6-ga Mullae-dong 6-ga Seoul 150-096 South Korea"	"2018-03-26"	875	158	717	10.5572	0.945606708526611	0.708860754966736	0.004512508183822
2474	"Korean Society of Nursing Science (KAMJE)"	"302-75 Ichon1-Dong Yongsan-Gu Yongsan-Gu Seoul 140-721 South Korea"	"2018-03-26"	2798	82	2716	10.404	0.265463918447495	0.841463387012482	0.004512508132072
3481	"Korean Academy of Rehabilitation Medicine (KAMJE)"	"302-75 Ichon1-Dong Yongsan-Gu Yongsan-Gu Seoul 140-721 South Korea"	"2018-03-26"	803	174	629	10.5535	0.987281382083893	0.965517222881317	0.004506796015773
2810	"Korean Society for Library and Information Science"	"245 Daehangno Yusong Yusong Daejeon 305-806 South Korea"	"2018-03-26"	1024	67	957	10.4275	0.778474390506744	0.611940324306488	0.004489659950825
3396	"Japan Society of Physical Education, Health, and Sport Sciences"	"New Road Oxford Oxford OX2 1BG United Kingdom"	"2018-03-26"	11102	100	11002	10.5432	0.063261225819588	0.870000004768372	0.004472523921114
3034	"Japan Institute of Electronics Packaging"	"New Road Oxford Oxford OX2 1BG United Kingdom"	"2018-03-26"	3815	205	3610	10.5104	0.190581724047661	0.443902432918549	0.004449675867882
2873	"The Japanese Society for Cardiovascular Surgery"	"New Road Oxford Oxford OX2 1BG United Kingdom"	"2018-03-26"	6133	115	6018	10.4326	0.115320704877377	0.739130437374115	0.004449675751869
2921	"The Korean Society for Plant Biotechnology"	"8-17 World Cup Buk-ro 5ga-gil, Mapo-gu Seoul 121-841 South Korea"	"2018-03-26"	788	124	664	10.501	0.986445784568787	0.983870983123779	0.004438251684142
1029	"International Ocean Discovery Program (IODP)"	"Texas A&M Research Foundation, Accounts Payable International Ocean Discovery Program, 1000 Discovery Drive, PO Drawer GK College Station TX 7784 United States"	"2018-03-26"	10212	191	10021	"10.14379, 10.2973, 10.2204"	0.061071749776602	0.863874316215515	0.004438251661565
3042	"The Scientific and Technological Research Council of Turkey"	"Akay Caddesi No: 6 Bakanliklar Ankara Turkey"	"2018-03-26"	4680	1677	3003	"10.3906, 10.5086"	0	0.462731063365936	0.004432539593719
3801	"Japanese Society of Oral and Maxillofacial Surgeons"	"New Road Oxford Oxford OX2 1BG United Kingdom"	"2018-03-26"	8883	107	8776	10.5794	0.078053779900074	0.850467264652252	0.004432539459235
1934	"Japanese Association of Inorganic Phosphorus Chemistry"	"New Road Oxford Oxford OX2 1BG United Kingdom"	"2018-03-26"	799	9	790	10.3363	0.972151875495911	0.777777791023254	0.004426827492401
2632	"The Korean Society of Veterinary Science (KAMJE)"	"302-75 Ichon1-Dong Yongsan-Gu Yongsan-Gu Seoul 140-721 South Korea"	"2018-03-26"	780	108	672	10.4142	0.99404764175415	0.981481492519379	0.004421115654942
